"Intervalo","Frecuencia"
"0 - 20",255
"20 - 40",134
"40 - 60",78
"60 - 80",229
"80 - 100",210
"100 - 120",57
"120 - 140",216
"140 - 160",174
"160 - 180",138
"180 - 200",149
"200 - 220",67
"220 - 240",95
"240 - 260",65
"260 - 280",84
"280 - 300",79
"300 - 320",14
"320 - 340",53
"340 - 360",27
"360 - 380",37
"380 - 400",27
"400 - 420",10
"420 - 440",24
"440 - 460",11
"460 - 480",9
"480 - 500",12
"500 - 520",6
"520 - 540",9
"540 - 560",4
"560 - 580",5
"580 - 600",8
"600 - 620",4
"620 - 640",3
"640 - 660",4
"660 - 680",4
"680 - 700",4
"700 - 720",2
"720 - 740",1
